"external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"00c2c",1,5,5,2,2,5,5,7,2,5,30,38,NA,"5,5,2,2,5,5"
"023ce",1,5,5,2,2,NA,5,6,2,4,30,38,NA,"5,5,2,2,NA,5"
"0d293",1,5,5,2,2,5,5,7,2,4,30,38,NA,"5,5,2,2,5,5"
"27e23",1,5,5,2,2,5,5,7,2,4,30,38,NA,"5,5,2,2,5,5"
"343ab",1,5,5,2,2,5,5,7,2,4,30,38,NA,"5,5,2,2,5,5"
"365cd",1,5,5,2,2,5,5,7,2,4,30,38,NA,"5,5,2,2,5,5"
"3adab",1,5,5,2,2,5,NA,6,2,5,30,38,NA,"5,5,2,2,5,NA"
"3fe63",1,5,5,2,2,5,5,7,2,5,30,38,"Mam wrażenie, że na początku tygodnia jakość była słaba, ale w drugiej połowie była już bardzo dobra.","5,5,2,2,5,5"
"40c71",1,5,5,2,2,5,5,7,2,4,30,38,"Jakość niejednakowa w roznych dniach, to znaczy:
Pon 5/5
Wt 5/5
Sr 2/5
Czw 3/5 
Pt 5/5
Sob 5/5","5,5,2,2,5,5"
"4d5eb",1,5,5,2,2,5,5,7,2,3,30,38,NA,"5,5,2,2,5,5"
"50bf3",1,5,5,2,2,5,5,7,2,4,30,38,NA,"5,5,2,2,5,5"
"54ed7",1,5,5,2,2,5,5,7,2,4,30,38,NA,"5,5,2,2,5,5"
"5542e",1,5,5,2,2,5,5,7,2,3,30,38,NA,"5,5,2,2,5,5"
"559e2",1,5,5,2,NA,5,5,6,1,4,30,38,NA,"5,5,2,NA,5,5"
"57ea9",1,5,5,2,2,5,5,7,2,5,30,38,"Poza środa i czwartkiem jakość była wspaniała","5,5,2,2,5,5"
"5870e",1,NA,NA,NA,2,5,5,4,1,3,30,38,"Po długim problemie z powiadomieniami stwierdzam że z tego co zauważyłem to powiadomienia przestają przychodzić jeśli w aplikacji jest taka przerwa jak ostatnio. Jeśli filmy są codziennie na bieżąco to wtedy powiadomienia przychodzą normalnie.","NA,NA,NA,2,5,5"
"5aa56",1,5,5,2,2,5,5,7,2,5,30,38,NA,"5,5,2,2,5,5"
"5c3d1",1,5,5,2,2,5,5,7,2,4,30,38,NA,"5,5,2,2,5,5"
"7d03b",1,5,5,2,2,5,5,7,2,4,30,38,"Poniedziałek, wtorek, piątek i sobota - dobra jakość 
Środa i czwartek - zła jakość","5,5,2,2,5,5"
"88df4",1,5,5,2,2,5,5,7,2,4,30,38,"Na ogół jakość większości filmików bardzo dobra ale był też  filmik jeden lub dwa  niewyraźny lub o niezbyt dobrej ostrości","5,5,2,2,5,5"
"898c1",1,NA,5,2,2,NA,5,5,2,4,30,38,NA,"NA,5,2,2,NA,5"
"8a560",1,5,5,2,2,5,5,7,2,4,30,38,NA,"5,5,2,2,5,5"
"8caa8",1,5,5,NA,2,5,5,6,1,4,30,38,NA,"5,5,NA,2,5,5"
"9d7d1",1,5,5,2,2,5,5,7,2,3,30,38,NA,"5,5,2,2,5,5"
